,reward,reward,reward,reward
group,a,b,c,d
turn,,,,
3,,3.9705872535705566,4.059168815612793,4.043735980987549
4,3.9938602447509766,4.046276569366455,3.9901163578033447,3.9901163578033447
5,,4.154843330383301,4.088507652282715,4.101151943206787
6,,4.151014804840088,4.058101177215576,4.107756614685059
7,3.925649642944336,4.182682991027832,3.9977173805236816,4.080668926239014
8,,4.070749759674072,4.050716400146484,4.053442478179932
9,,4.139070510864258,4.120571136474609,4.052452564239502
10,4.059902667999268,4.179284572601318,4.155160427093506,4.142855644226074
11,,4.049271583557129,4.255715847015381,4.243960857391357
12,,,4.0215678215026855,4.049840450286865
13,4.183809280395508,,4.316225528717041,4.260950565338135
14,,,4.2179436683654785,4.0671916007995605
15,,,4.271575450897217,4.303201198577881
16,4.083050727844238,,4.103420734405518,4.163049697875977
17,,,4.375667095184326,4.333669185638428
18,,,4.197376251220703,4.183250904083252
19,4.17568826675415,,4.277613162994385,4.331430435180664
20,,,4.311854839324951,4.177042007446289
21,,,4.115135192871094,4.211463451385498
22,4.10781717300415,,4.234619617462158,4.264545917510986
23,,,4.117435455322266,4.257789611816406
24,,,4.271181106567383,4.183574199676514
25,4.2315545082092285,,4.371904373168945,4.3647284507751465
26,,,4.141238689422607,4.168463230133057
27,,,4.377821445465088,4.30064058303833
28,4.168649196624756,,4.244561672210693,4.093596935272217
29,,,4.370748519897461,4.369938373565674
30,,,4.393616676330566,4.3316264152526855
31,4.227936267852783,,4.320631504058838,4.320631504058838
32,,,4.31096887588501,4.2741827964782715
33,,,4.395841598510742,4.309436321258545
34,4.174018859863281,,4.237803936004639,4.310650825500488
35,,,4.429473400115967,4.458272933959961
36,,,4.3393378257751465,4.236896991729736
37,4.304823398590088,,4.502649307250977,4.452042579650879
38,,,4.243929862976074,4.203079700469971
39,,,4.470501899719238,4.537608623504639
40,3.9554388523101807,,4.223456859588623,4.34407377243042
41,,,4.496823310852051,4.549171447753906
42,,,4.420619487762451,4.212432861328125
43,4.186574459075928,,4.6659016609191895,4.651268482208252
44,,,3.930243968963623,4.19279146194458
45,,,4.5799055099487305,4.619795322418213
46,4.0995283126831055,,4.2709431648254395,4.1543354988098145
47,,,4.473583221435547,4.5187859535217285
48,,,4.314495086669922,4.255591869354248
49,,,4.41771936416626,4.422387599945068
50,,,4.296976566314697,4.210397243499756
